evento,driver,codice,prob_mercato,volume,data
Belgian Grand Prix: Practice 2 Fastest Lap,Esteban Ocon,OCO,0.0985,150,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.0965,150,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Nico Hulkenberg,HUL,0.0965,164,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Valtteri Bottas,BOT,0.0965,164,2026-06-20
Belgian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.095,1390.7219659999996,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Lewis Hamilton,HAM,0.095,5.263156,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.09,4.899352,2026-06-20
Hungarian Grand Prix: Driver Winner,Max Verstappen,VER,0.085,1469.537772,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.08,3769.8345860000004,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Oliver Bearman,BEA,0.0765,83.005,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Charles Leclerc,LEC,0.075,109.32000000000002,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Arvid Lindblad,LIN,0.0745,28,2026-06-20
Belgian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.065,2047.0455279999996,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Nico Hulkenberg,HUL,0.056,83.005,2026-06-20
Hungarian Grand Prix: Driver Winner,Lando Norris,NOR,0.055,1053.5158069999998,2026-06-27
Hungarian Grand Prix: Driver Winner,Oscar Piastri,PIA,0.055,1691.7278709999998,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.05,2.96875,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Alexander Albon,ALB,0.0465,83.005,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Esteban Ocon,OCO,0.0415,84.007,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Isack Hadjar,HAD,0.0395,45.877721,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.0345,78,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Oscar Piastri,PIA,0.0315,80.700239,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Isack Hadjar,HAD,0.031,42.602809,2026-06-20
F1 Drivers' Champion,Charles Leclerc,LEC,0.0295,4992000.557111014,2025-12-09
Belgian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.028,20.232597,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.028,45.878569,2026-06-20
F1 Drivers' Champion,Max Verstappen,VER,0.0255,5233175.460489018,2025-12-09
Belgian Grand Prix: Driver Fastest Lap,Lando Norris,NOR,0.025,50.69,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.0245,87.6879,2026-06-20
F1 Drivers' Champion,Lando Norris,NOR,0.0225,5805710.506864038,2025-12-09
Belgian Grand Prix: Driver Pole Position,Lando Norris,NOR,0.0225,2404.3683029999997,2026-06-20
Belgian Grand Prix: Driver Winner,Oscar Piastri,PIA,0.0215,7453.532049,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Gabriel Bortoleto,BOR,0.021,124.005,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Sergio Perez,PER,0.0205,122.36102399999999,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Arvid Lindblad,LIN,0.02,78,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Williams,,0.02,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.02,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Cadillac,,0.02,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Oscar Piastri,PIA,0.0195,1954.3634509999997,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.0185,103.03613299999999,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Racing Bulls,,0.018,89.8755,2026-06-20
Belgian Grand Prix: Driver Winner,Lando Norris,NOR,0.0175,10061.513765,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.017,102.18,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Lance Stroll,STR,0.016,105.82000000000001,2026-06-20
F1 Constructors' Champion,McLaren,,0.0155,1644503.020990992,2025-12-09
Belgian Grand Prix: Driver Fastest Lap,Fernando Alonso,ALO,0.0155,98.53999999999999,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.0155,105.82000000000001,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Liam Lawson,LAW,0.0145,78,2026-06-20
Hungarian Grand Prix: Constructor Pole Position,Williams,,0.0145,8.72,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Carlos Sainz Jr.,SAI,0.0135,78,2026-06-20
Hungarian Grand Prix: Constructor Pole Position,Aston Martin,,0.0135,8.72,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Cadillac,,0.0095,58.72,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.009,122.72205,2026-06-20
F1 Drivers' Champion,Oscar Piastri,PIA,0.0075,5987408.02718302,2025-12-09
Belgian Grand Prix: Driver Podium Finish,Valtteri Bottas,BOT,0.0065,113.7751,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Alpine,,0.006,50,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Racing Bulls,,0.006,50,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Pierre Gasly,GAS,0.006,50,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.006,50,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Gabriel Bortoleto,BOR,0.006,49.9905,2026-06-20
